Lemma,Rank,SFI,U
community,465,"63,366","217,07"
else,466,"63,337","215,62"
particular,467,"63,334","215,48"
role,468,"63,328","215,18"
join,469,"63,325","215,04"
difficult,470,"63,318","214,71"
please,471,"63,280","212,83"
detail,472,"63,280","212,81"
difference,473,"63,265","212,09"
action,474,"63,214","209,59"
health,475,"63,205","209,18"
eat,476,"63,194","208,64"
step,477,"63,176","207,76"
true,478,"63,172","207,57"
phone,479,"63,163","207,15"
themselves,480,"63,161","207,04"
draw,481,"63,154","206,73"
white,482,"63,141","206,10"
date,483,"63,125","205,35"
practice,484,"63,124","205,29"
model,485,"63,118","205,04"
raise,486,"63,107","204,52"
customer,487,"63,107","204,50"
front,488,"63,066","202,59"
explain,489,"63,057","202,18"
door,490,"63,052","201,94"
outside,491,"63,020","200,43"
behind,492,"63,006","199,81"
economic,493,"62,989","199,03"
site,494,"62,985","198,83"
approach,495,"62,978","198,54"
teacher,496,"62,978","198,52"
land,497,"62,935","196,58"
charge,498,"62,935","196,57"
finally,499,"62,934","196,51"
sign,500,"62,934","196,50"
claim,501,"62,932","196,42"
relationship,502,"62,929","196,28"
travel,503,"62,911","195,48"
enjoy,504,"62,893","194,66"
death,505,"62,887","194,42"
nice,506,"62,862","193,31"
amount,507,"62,862","193,28"
improve,508,"62,832","191,94"
picture,509,"62,831","191,90"
boy,510,"62,825","191,65"
regard,511,"62,821","191,48"
organization,512,"62,821","191,48"
happy,513,"62,810","191,00"
couple,514,"62,810","190,99"
act,515,"62,796","190,36"
range,516,"62,786","189,93"
quality,517,"62,782","189,77"
project,518,"62,782","189,76"
round,519,"62,771","189,30"
opportunity,520,"62,762","188,87"
road,521,"62,761","188,84"
accord,522,"62,741","187,98"
list,523,"62,729","187,45"
wish,524,"62,726","187,31"
therefore,525,"62,720","187,06"
wear,526,"62,715","186,84"
fund,527,"62,712","186,74"
rest,528,"62,706","186,45"
kid,529,"62,696","186,04"
industry,530,"62,682","185,45"
education,531,"62,675","185,13"
measure,532,"62,670","184,91"
kill,533,"62,647","183,94"
serve,534,"62,637","183,52"
likely,535,"62,618","182,72"
certainly,536,"62,592","181,65"
national,537,"62,584","181,29"
itself,538,"62,573","180,85"
teach,539,"62,570","180,73"
field,540,"62,568","180,61"
security,541,"62,541","179,53"
air,542,"62,530","179,05"
benefit,543,"62,529","179,04"
trade,544,"62,518","178,55"
risk,545,"62,517","178,54"
news,546,"62,512","178,33"
standard,547,"62,503","177,95"
vote,548,"62,488","177,35"
percent,549,"62,487","177,28"
focus,550,"62,478","176,91"
stage,551,"62,473","176,72"
space,552,"62,464","176,35"
instead,553,"62,460","176,20"
realize,554,"62,455","176,00"
usually,555,"62,436","175,21"
data,556,"62,418","174,50"
single,557,"62,410","174,16"
address,558,"62,372","172,67"
performance,559,"62,360","172,19"
chance,560,"62,358","172,11"
accept,561,"62,355","172,00"
society,562,"62,352","171,87"
technology,563,"62,352","171,87"
mention,564,"62,351","171,84"
choice,565,"62,331","171,05"
save,566,"62,327","170,88"
common,567,"62,317","170,50"
culture,568,"62,294","169,58"
total,569,"62,284","169,18"
demand,570,"62,271","168,70"
material,571,"62,264","168,43"
limit,572,"62,254","168,05"
listen,573,"62,253","168,01"
due,574,"62,233","167,24"
wrong,575,"62,229","167,06"
foot,576,"62,217","166,60"
effort,577,"62,216","166,58"
attention,578,"62,210","166,34"
upon,579,"62,205","166,17"
check,580,"62,203","166,09"
complete,581,"62,203","166,06"
lie,582,"62,192","165,67"
pick,583,"62,190","165,57"
reduce,584,"62,187","165,47"
personal,585,"62,186","165,42"
ground,586,"62,179","165,15"
animal,587,"62,171","164,84"
arrive,588,"62,169","164,78"
patient,589,"62,167","164,70"
current,590,"62,150","164,05"
century,591,"62,135","163,49"
evidence,592,"62,131","163,35"
exist,593,"62,125","163,13"
similar,594,"62,125","163,11"
fight,595,"62,124","163,09"
leader,596,"62,123","163,04"
fine,597,"62,106","162,41"
street,598,"62,105","162,38"
former,599,"62,105","162,36"
contact,600,"62,089","161,77"
particularly,601,"62,085","161,63"
wife,602,"62,064","160,84"
sport,603,"62,056","160,55"
prepare,604,"62,039","159,94"
discuss,605,"62,031","159,61"
response,606,"62,027","159,48"
voice,607,"62,023","159,33"
piece,608,"62,015","159,03"
finish,609,"62,000","158,47"
suppose,610,"61,972","157,48"
apply,611,"61,972","157,47"
president,612,"61,970","157,38"
fire,613,"61,961","157,07"
compare,614,"61,952","156,75"
court,615,"61,936","156,16"
police,616,"61,935","156,13"
store,617,"61,924","155,74"
poor,618,"61,918","155,53"
knowledge,619,"61,915","155,41"
laugh,620,"61,908","155,16"
arm,621,"61,905","155,04"
heart,622,"61,900","154,88"
source,623,"61,897","154,78"
employee,624,"61,888","154,45"
manage,625,"61,867","153,70"
simply,626,"61,860","153,47"
bank,627,"61,852","153,18"
firm,628,"61,842","152,81"
cell,629,"61,838","152,69"
article,630,"61,814","151,85"
fast,631,"61,799","151,32"
attack,632,"61,786","150,86"
foreign,633,"61,785","150,85"
surprise,634,"61,785","150,82"
feature,635,"61,774","150,46"
factor,636,"61,769","150,27"
pretty,637,"61,759","149,93"
recently,638,"61,757","149,88"
affect,639,"61,756","149,82"
drop,640,"61,753","149,72"
recent,641,"61,741","149,31"
relate,642,"61,738","149,21"
official,643,"61,734","149,06"
financial,644,"61,731","148,96"
miss,645,"61,722","148,65"
art,646,"61,720","148,61"
campaign,647,"61,713","148,37"
private,648,"61,713","148,36"
pause,649,"61,696","147,76"
everyone,650,"61,694","147,69"
forget,651,"61,681","147,25"
page,652,"61,680","147,23"
worry,653,"61,679","147,19"
summer,654,"61,670","146,89"
drink,655,"61,665","146,71"
opinion,656,"61,661","146,60"
park,657,"61,654","146,36"
represent,658,"61,644","146,02"
key,659,"61,642","145,94"
inside,660,"61,622","145,26"
manager,661,"61,604","144,67"
international,662,"61,593","144,31"
contain,663,"61,579","143,85"
notice,664,"61,562","143,29"
wonder,665,"61,559","143,20"
nature,666,"61,546","142,76"
structure,667,"61,545","142,74"
section,668,"61,537","142,47"
myself,669,"61,529","142,19"
exactly,670,"61,520","141,91"
plant,671,"61,516","141,76"
paint,672,"61,510","141,57"
worker,673,"61,501","141,28"
press,674,"61,500","141,26"
whatever,675,"61,499","141,23"
necessary,676,"61,495","141,09"
region,677,"61,483","140,71"
growth,678,"61,461","139,99"
evening,679,"61,459","139,94"
influence,680,"61,458","139,90"
respect,681,"61,456","139,84"
various,682,"61,455","139,80"
catch,683,"61,449","139,61"
thus,684,"61,433","139,08"
skill,685,"61,429","138,97"
attempt,686,"61,422","138,75"
son,687,"61,419","138,63"
simple,688,"61,414","138,50"
medium,689,"61,413","138,46"
average,690,"61,406","138,23"
stock,691,"61,399","137,99"
management,692,"61,393","137,82"
character,693,"61,384","137,53"
bed,694,"61,377","137,32"
hit,695,"61,377","137,30"
establish,696,"61,372","137,14"
indeed,697,"61,359","136,76"
final,698,"61,358","136,72"
economy,699,"61,353","136,56"
fit,700,"61,352","136,51"
guy,701,"61,328","135,76"
function,702,"61,318","135,46"
yesterday,703,"61,318","135,44"
image,704,"61,309","135,19"
size,705,"61,303","134,98"
behavior,706,"61,302","134,95"
addition,707,"61,299","134,87"
determine,708,"61,286","134,46"
station,709,"61,281","134,31"
population,710,"61,279","134,26"
fail,711,"61,271","134,01"
environment,712,"61,267","133,87"
production,713,"61,255","133,50"
contract,714,"61,237","132,96"
player,715,"61,217","132,33"
comment,716,"61,216","132,32"
enter,717,"61,205","131,98"
occur,718,"61,198","131,78"
alone,719,"61,196","131,72"
significant,720,"61,185","131,36"
drug,721,"61,178","131,17"
wall,722,"61,174","131,04"
series,723,"61,173","131,00"
direct,724,"61,161","130,64"
success,725,"61,147","130,22"
tomorrow,726,"61,140","130,01"
director,727,"61,131","129,74"
clearly,728,"61,126","129,59"
lack,729,"61,121","129,44"
review,730,"61,117","129,33"
depend,731,"61,103","128,93"
race,732,"61,100","128,82"
recognize,733,"61,097","128,73"
window,734,"61,096","128,71"
purpose,735,"61,088","128,47"
department,736,"61,087","128,45"
gain,737,"61,076","128,11"
tree,738,"61,075","128,09"
college,739,"61,070","127,95"
argue,740,"61,069","127,91"
board,741,"61,058","127,59"
holiday,742,"61,047","127,26"
mark,743,"61,046","127,22"
church,744,"61,024","126,59"
machine,745,"61,021","126,50"
achieve,746,"61,018","126,41"
item,747,"61,017","126,40"
prove,748,"61,017","126,39"
cent,749,"61,017","126,38"
season,750,"61,014","126,29"
floor,751,"61,014","126,29"
stuff,752,"61,013","126,26"
wide,753,"61,009","126,16"
anyone,754,"61,009","126,14"
method,755,"61,008","126,14"
analysis,756,"61,002","125,94"
election,757,"60,994","125,73"
military,758,"60,994","125,72"
hotel,759,"60,992","125,66"
club,760,"60,989","125,59"
below,761,"60,989","125,58"
movie,762,"60,989","125,58"
doctor,763,"60,983","125,40"
discussion,764,"60,982","125,39"
sorry,765,"60,978","125,24"
challenge,766,"60,977","125,24"
nation,767,"60,963","124,84"
nearly,768,"60,958","124,69"
statement,769,"60,955","124,58"
link,770,"60,949","124,41"
despite,771,"60,944","124,28"
introduce,772,"60,944","124,28"
advantage,773,"60,939","124,14"
ready,774,"60,939","124,13"
marry,775,"60,926","123,77"
strike,776,"60,926","123,76"
mile,777,"60,920","123,59"
seek,778,"60,915","123,45"
ability,779,"60,904","123,15"
unit,780,"60,899","123,00"
card,781,"60,885","122,61"
hospital,782,"60,883","122,55"
quickly,783,"60,864","122,03"
interview,784,"60,864","122,01"
agreement,785,"60,855","121,75"
release,786,"60,853","121,70"
tax,787,"60,850","121,62"
solution,788,"60,849","121,60"
capital,789,"60,829","121,03"
popular,790,"60,821","120,82"
specific,791,"60,820","120,77"
beautiful,792,"60,816","120,67"
fear,793,"60,812","120,56"
aim,794,"60,812","120,56"
television,795,"60,808","120,44"
serious,796,"60,805","120,37"
target,797,"60,796","120,12"
degree,798,"60,780","119,66"
pull,799,"60,775","119,54"
red,800,"60,770","119,40"
husband,801,"60,768","119,35"
access,802,"60,767","119,31"
movement,803,"60,752","118,89"
treat,804,"60,740","118,59"
identify,805,"60,727","118,23"
loss,806,"60,718","117,98"
shall,807,"60,716","117,93"
modern,808,"60,699","117,46"
pressure,809,"60,696","117,39"
bus,810,"60,695","117,34"
treatment,811,"60,692","117,28"
yourself,812,"60,670","116,67"
supply,813,"60,657","116,33"
village,814,"60,646","116,04"
worth,815,"60,644","115,99"
natural,816,"60,643","115,94"
express,817,"60,639","115,85"
indicate,818,"60,639","115,84"
attend,819,"60,634","115,73"
brother,820,"60,632","115,67"
investment,821,"60,629","115,59"
score,822,"60,624","115,45"
organize,823,"60,619","115,32"
trip,824,"60,618","115,28"
beyond,825,"60,615","115,22"
sleep,826,"60,615","115,21"
fish,827,"60,603","114,89"
promise,828,"60,601","114,84"
potential,829,"60,595","114,67"
energy,830,"60,594","114,66"
trouble,831,"60,590","114,55"
relation,832,"60,578","114,23"
touch,833,"60,560","113,76"
file,834,"60,557","113,69"
middle,835,"60,556","113,67"
bar,836,"60,554","113,60"
suffer,837,"60,547","113,43"
strategy,838,"60,547","113,41"
deep,839,"60,544","113,34"
except,840,"60,542","113,29"
clean,841,"60,539","113,21"
tend,842,"60,537","113,16"
advance,843,"60,536","113,15"
fill,844,"60,535","113,11"
star,845,"60,517","112,64"
network,846,"60,504","112,30"
generally,847,"60,502","112,25"
operation,848,"60,494","112,05"
match,849,"60,471","111,46"
avoid,850,"60,465","111,30"
seat,851,"60,455","111,04"
throw,852,"60,450","110,92"
task,853,"60,439","110,64"
normal,854,"60,431","110,43"
goal,855,"60,424","110,25"
associate,856,"60,420","110,14"
